Name,Energy Cost,Inputs,,,,,,,,
,,0.9 x Iron,0.1 x Carbon,=>,1 x Steel,,,,,
,,0.8 x Titanium,0.15 x Aluminium,0.05 x Molybdenum,=>,1 x Titanium Alloy,,,,
,,1 x Silicon,5 x Copper,1 x Steel,=>,1 x Microelectronics,,,,
,,1 x Silicon,1 x Steel,=>,1 x Solar Cell,,,,,
,,9600 x Solar Cell,48 x Titanium Alloy,4 x Microelectronics,=>,1 x Solar Array,,,,
,,20 x Titanium Alloy,10 x Microelectronics,5 x Steel,=>,1 x Satellite Casing,,,,
,,4 x Solar Array,1 x Satellite Casing,=>,1 x Solar Plant,,,,,
,,2 x Hydrogen,1 x Oxygen,=>,1 x Rocket Fuel,,,,,
,,2 x Titanium Alloy,1 x Steel,=>,1 x High Pressure Tubing,,,,,
,,1 x Microelectronics,5 x High Pressure Tubing,10 x Titanium Alloy,=>,1 x Rocket Engine,,,,
,,3200 x Titanium Alloy,800 x Steel,430 x Aluminium,112 x Microelectronics,=>,1 x Hull Section,,,
,,1 x Microelectronics,4 x Aluminium,1 x Steel,=>,1 x Atmosphere Scrubber,,,,
,,1 x Microelectronics,1 x High Pressure Tubing,3 x Titanium,=>,1 x Monopropellant Thruster Unit,,,,
,,100 x Nickel,10 x Steel,150 x Hydrogen,75 x Oxygen,=>,1 x Fuel Cell,,,
,,50 x Steel,3 x Atmosphere Scrubber,1 x Monopropellant Thruster Unit,1 x Fuel Cell,=>,1 x Fitted Hull Section,,,
,,4 x Steel,1 x Nickel,0.5 x Copper,=>,1 x Magnet,,,,
,,10 x Titanium Alloy,3 x Steel,25 x Copper,32 x Helium,=>,1 x Supercooler,,,
,,3 x Copper,2 x Aluminium,1 x Molybdenum,1 x Carbon,16 x Helium,=>,1 x Superconductor,,
,,5 x Carbon,1 x Helium,=>,1 x Industrial Diamond,,,,,
,,1 x Industrial Diamond,4 x Copper,1 x Microelectronics,3 x Hydrogen,3 x Flouride,=>,1 x Laser,,
,,250 x Magnet,1000 x Titanium Alloy,450 x Helium,50 x Xenon,325 x Superconductor,16 x Supercooler,1 x Laser,=>,1 x Tokamak Fusor
,,5 x Fitted Hull Section,3 x Rocket Engine,6 x Fuel Cell,1 x Tokamak Fusor,=>,1 x Basic Interplanetary Ship,,,
,,8 x Industrial Diamond,16 x Steel,=>,1 x Drill Bit,,,,,
,,4 x Steel,1 x Copper,1 x Microelectronics,1 x Permanent Magnet,=>,1 x Motor,,,
,,100 x Drill Bit,450 x Steel,1 x Microelectronics,1 x Motor,=>,1 x Mining Head,,,
,,1 x Mining Head,1 x Basic Interplanetary Ship,=>,C-Type Asteroid Miner,,,,,
,,1 x Mining Head,1 x Basic Interplanetary Ship,=>,S-Type Asteroid Miner,,,,,
,,1 x Mining Head,1 x Basic Interplanetary Ship,=>,M-Type Asteroid Miner,,,,,
,,49 x Fitted Hull Section,36 x Fuel Cell,12 x Solar Array,1 x Tokamak Fusor,=>,1 x Centrifugal Station,,,
,,16 x High Pressure Tubing,4 x Motor,1 x Microelectronics,=>,1 x Vacuum Pump,,,,
,,4 x Vacuum Pump,250 x Steel,64 x High Pressure Tubing,=>,1 x Cloud Scoop,,,,
,,1 x Centrifugal Station,4 x Cloud Scoop,1024 x High Pressure Tubing,=>,1 x Cloud Scoop Facility,,,,
,,9 x Fitted Hull Section,6 x Fuel Cell,4 x Solar Array,4 x Tokamak Fusor,=>,1 x Fusion Nuclear Plant,,,
,,1 x Cloud Scoop,36 x Supercooler,1 x Basic Interplanetary Ship,=>,1 x Star Diver,,,,
,,256 x Superconductor,16 x Magnet,16 x Supercooler,1 x Exotic Matter,32 x Helium,64 x Microelectronics,=>,1 x Spacetime Field Manipulator,
,,4 x Spacetime Field Manipulator,12 x Fitted Hull Section,1 x Tokamak Fusor,4 x Solar Array,8 x Fuel Cell,=>,1 x FTL Gate Facility,,
,,1 x FTL Gate Facility,256 x Supercooler,48 x High Pressure Tubing,512 x Superconductor,4 x Vacuum Pump,=>,1 x Core Drill,,
,,1 x Microelectronics,15 x High Pressure Tubing,12 x Titanium Alloy,1 x Fuel Cell,4 x Laser,1 x Industrial Diamond,40 x Superconductor,=>,1 x Magneto-Plasma Drive
,,16 x Magneto-Plasma Drive,704 x Fitted Hull Section,5 x Spacetime Field Manipulator,4 x Tokamak Fusor,24 x Fuel Cell,=>,1 x Basic Interstellar Ship,,
